h_symbol,a_symbol,a_market,name,sector,enabled,notes
1033,600871,SSE,中石化油服,,1,source=macquarie_ah_page_2026-06-25
553,600775,SSE,南京熊貓電子股份,,1,source=macquarie_ah_page_2026-06-25
991,601991,SSE,大唐發電,,1,source=macquarie_ah_page_2026-06-25
1108,600876,SSE,凱盛新能源,,1,source=macquarie_ah_page_2026-06-25
338,600688,SSE,上海石油化工股份,,1,source=macquarie_ah_page_2026-06-25
187,600860,SSE,京城機電股份,,1,source=macquarie_ah_page_2026-06-25
2866,601866,SSE,中遠海發,,1,source=macquarie_ah_page_2026-06-25
2068,601068,SSE,中鋁國際工程,,1,source=macquarie_ah_page_2026-06-25
2238,601238,SSE,廣汽集團,,1,source=macquarie_ah_page_2026-06-25
2009,601992,SSE,金隅集團,,1,source=macquarie_ah_page_2026-06-25
1375,601375,SSE,中州證券,,1,source=macquarie_ah_page_2026-06-25
6066,601066,SSE,中信建投証券,,1,source=macquarie_ah_page_2026-06-25
588,601588,SSE,北京北辰實業股份,,1,source=macquarie_ah_page_2026-06-25
6869,601869,SSE,長飛光纖光纜,,1,source=macquarie_ah_page_2026-06-25
317,600685,SSE,中船防務,,1,source=macquarie_ah_page_2026-06-25
2727,601727,SSE,上海電氣,,1,source=macquarie_ah_page_2026-06-25
6178,601788,SSE,光大證券,,1,source=macquarie_ah_page_2026-06-25
1528,601828,SSE,紅星美凱龍,,1,source=macquarie_ah_page_2026-06-25
2880,601880,SSE,遼港股份,,1,source=macquarie_ah_page_2026-06-25
1635,600635,SSE,大眾公用,,1,source=macquarie_ah_page_2026-06-25
1618,601618,SSE,中國中冶,,1,source=macquarie_ah_page_2026-06-25
981,688981,SSE,中芯國際,,1,source=macquarie_ah_page_2026-06-25
2883,601808,SSE,中海油田服務,,1,source=macquarie_ah_page_2026-06-25
6865,601865,SSE,福萊特玻璃,,1,source=macquarie_ah_page_2026-06-25
3958,600958,SSE,東方證券,,1,source=macquarie_ah_page_2026-06-25
6881,601881,SSE,中國銀河,,1,source=macquarie_ah_page_2026-06-25
2333,601633,SSE,長城汽車,,1,source=macquarie_ah_page_2026-06-25
38,601038,SSE,第一拖拉機股份,,1,source=macquarie_ah_page_2026-06-25
3898,688187,SSE,時代電氣,,1,source=macquarie_ah_page_2026-06-25
323,600808,SSE,馬鞍山鋼鐵股份,,1,source=macquarie_ah_page_2026-06-25
1171,600188,SSE,兗礦能源集團,,1,source=macquarie_ah_page_2026-06-25
1800,601800,SSE,中國交通建設,,1,source=macquarie_ah_page_2026-06-25
1055,600029,SSE,中國南方航空股份,,1,source=macquarie_ah_page_2026-06-25
3969,688009,SSE,中國鐵路通信,,1,source=macquarie_ah_page_2026-06-25
1065,600874,SSE,天津創業環保股份,,1,source=macquarie_ah_page_2026-06-25
2196,600196,SSE,上海復星醫藥,,1,source=macquarie_ah_page_2026-06-25
1339,601319,SSE,中國人民保險集團,,1,source=macquarie_ah_page_2026-06-25
525,601333,SSE,廣深鐵路股份,,1,source=macquarie_ah_page_2026-06-25
874,600332,SSE,白雲山,,1,source=macquarie_ah_page_2026-06-25
753,601111,SSE,中國國航,,1,source=macquarie_ah_page_2026-06-25
3369,601326,SSE,秦港股份,,1,source=macquarie_ah_page_2026-06-25
598,601598,SSE,中國外運,,1,source=macquarie_ah_page_2026-06-25
358,600362,SSE,江西銅業股份,,1,source=macquarie_ah_page_2026-06-25
883,600938,SSE,中國海洋石油,,1,source=macquarie_ah_page_2026-06-25
1330,601330,SSE,綠色動力環保,,1,source=macquarie_ah_page_2026-06-25
2607,601607,SSE,上海醫藥,,1,source=macquarie_ah_page_2026-06-25
1186,601186,SSE,中國鐵建,,1,source=macquarie_ah_page_2026-06-25
1072,600875,SSE,東方電氣,,1,source=macquarie_ah_page_2026-06-25
811,601811,SSE,新華文軒,,1,source=macquarie_ah_page_2026-06-25
902,600011,SSE,華能國際電力股份,,1,source=macquarie_ah_page_2026-06-25
1787,600547,SSE,山東黃金,,1,source=macquarie_ah_page_2026-06-25
548,600548,SSE,深圳高速公路股份,,1,source=macquarie_ah_page_2026-06-25
1053,601005,SSE,重慶鋼鐵股份,,1,source=macquarie_ah_page_2026-06-25
390,601390,SSE,中國中鐵,,1,source=macquarie_ah_page_2026-06-25
2628,601628,SSE,中國人壽,,1,source=macquarie_ah_page_2026-06-25
6198,601298,SSE,青島港國際,,1,source=macquarie_ah_page_2026-06-25
1336,601336,SSE,新華人壽保險,,1,source=macquarie_ah_page_2026-06-25
6886,601688,SSE,華泰證券,,1,source=macquarie_ah_page_2026-06-25
1898,601898,SSE,中煤能源,,1,source=macquarie_ah_page_2026-06-25
177,600377,SSE,江蘇寧滬高速公路,,1,source=macquarie_ah_page_2026-06-25
1071,600027,SSE,華電國際電力股份,,1,source=macquarie_ah_page_2026-06-25
2611,601211,SSE,國泰海通,,1,source=macquarie_ah_page_2026-06-25
6099,600999,SSE,招商證券,,1,source=macquarie_ah_page_2026-06-25
107,601107,SSE,四川成渝高速公路,,1,source=macquarie_ah_page_2026-06-25
1138,600026,SSE,中遠海能,,1,source=macquarie_ah_page_2026-06-25
670,600115,SSE,中國東方航空股份,,1,source=macquarie_ah_page_2026-06-25
939,601939,SSE,建設銀行,,1,source=macquarie_ah_page_2026-06-25
564,601717,SSE,中創智領,,1,source=macquarie_ah_page_2026-06-25
168,600600,SSE,青島啤酒股份,,1,source=macquarie_ah_page_2026-06-25
3988,601988,SSE,中國銀行,,1,source=macquarie_ah_page_2026-06-25
941,600941,SSE,中國移動,,1,source=macquarie_ah_page_2026-06-25
1288,601288,SSE,農業銀行,,1,source=macquarie_ah_page_2026-06-25
3993,603993,SSE,洛陽鉬業,,1,source=macquarie_ah_page_2026-06-25
2600,601600,SSE,中國鋁業,,1,source=macquarie_ah_page_2026-06-25
386,600028,SSE,中國石油化工股份,,1,source=macquarie_ah_page_2026-06-25
1766,601766,SSE,中國中車,,1,source=macquarie_ah_page_2026-06-25
2601,601601,SSE,中國太保,,1,source=macquarie_ah_page_2026-06-25
1398,601398,SSE,工商銀行,,1,source=macquarie_ah_page_2026-06-25
1919,601919,SSE,中遠海控,,1,source=macquarie_ah_page_2026-06-25
857,601857,SSE,中國石油股份,,1,source=macquarie_ah_page_2026-06-25
1988,600016,SSE,民生銀行,,1,source=macquarie_ah_page_2026-06-25
6030,600030,SSE,中信証券,,1,source=macquarie_ah_page_2026-06-25
998,601998,SSE,中信銀行,,1,source=macquarie_ah_page_2026-06-25
914,600585,SSE,海螺水泥,,1,source=macquarie_ah_page_2026-06-25
995,600012,SSE,安徽皖通高速公路,,1,source=macquarie_ah_page_2026-06-25
3606,600660,SSE,福耀玻璃,,1,source=macquarie_ah_page_2026-06-25
6818,601818,SSE,中國光大銀行,,1,source=macquarie_ah_page_2026-06-25
1088,601088,SSE,中國神華,,1,source=macquarie_ah_page_2026-06-25
2899,601899,SSE,紫金礦業,,1,source=macquarie_ah_page_2026-06-25
3328,601328,SSE,交通銀行,,1,source=macquarie_ah_page_2026-06-25
2318,601318,SSE,中國平安,,1,source=macquarie_ah_page_2026-06-25
2359,603259,SSE,藥明康德,,1,source=macquarie_ah_page_2026-06-25
3968,600036,SSE,招商銀行,,1,source=macquarie_ah_page_2026-06-25
1057,002703,SZSE,浙江世寶,,1,source=macquarie_ah_page_2026-06-25
3678,001236,SZSE,弘業期貨,,1,source=macquarie_ah_page_2026-06-25
916,001289,SZSE,龍源電力,,1,source=macquarie_ah_page_2026-06-25
1812,000488,SZSE,晨鳴紙業,,1,source=macquarie_ah_page_2026-06-25
719,000756,SZSE,山東新華製藥股份,,1,source=macquarie_ah_page_2026-06-25
9989,002399,SZSE,海普瑞,,1,source=macquarie_ah_page_2026-06-25
2208,002202,SZSE,金風科技,,1,source=macquarie_ah_page_2026-06-25
895,002672,SZSE,東江環保,,1,source=macquarie_ah_page_2026-06-25
6196,002936,SZSE,鄭州銀行,,1,source=macquarie_ah_page_2026-06-25
6806,000166,SZSE,申萬宏源,,1,source=macquarie_ah_page_2026-06-25
6680,300748,SZSE,金力永磁,,1,source=macquarie_ah_page_2026-06-25
347,000898,SZSE,鞍鋼股份,,1,source=macquarie_ah_page_2026-06-25
763,000063,SZSE,中興通訊,,1,source=macquarie_ah_page_2026-06-25
568,002490,SZSE,山東墨龍,,1,source=macquarie_ah_page_2026-06-25
9696,002466,SZSE,天齊鋰業,,1,source=macquarie_ah_page_2026-06-25
3759,300759,SZSE,康龍化成,,1,source=macquarie_ah_page_2026-06-25
1816,003816,SZSE,中國廣核電力股份,,1,source=macquarie_ah_page_2026-06-25
1776,000776,SZSE,廣發証券,,1,source=macquarie_ah_page_2026-06-25
3347,300347,SZSE,泰格醫藥,,1,source=macquarie_ah_page_2026-06-25
6821,002821,SZSE,凱萊英醫藥,,1,source=macquarie_ah_page_2026-06-25
2202,000002,SZSE,萬科企業股份,,1,source=macquarie_ah_page_2026-06-25
1772,002460,SZSE,贛鋒鋰業,,1,source=macquarie_ah_page_2026-06-25
1513,000513,SZSE,麗珠醫藥集團,,1,source=macquarie_ah_page_2026-06-25
3866,002948,SZSE,青島銀行,,1,source=macquarie_ah_page_2026-06-25
921,000921,SZSE,海信家電集團,,1,source=macquarie_ah_page_2026-06-25
1211,002594,SZSE,比亞迪股份,,1,source=macquarie_ah_page_2026-06-25
2039,000039,SZSE,中集集團,,1,source=macquarie_ah_page_2026-06-25
1157,000157,SZSE,中聯重科,,1,source=macquarie_ah_page_2026-06-25
300,000333,SZSE,美的集團,,1,source=macquarie_ah_page_2026-06-25
2338,000338,SZSE,濰柴動力,,1,source=macquarie_ah_page_2026-06-25
3750,300750,SZSE,寧德時代,,1,source=macquarie_ah_page_2026-06-25
